agent_id,party_id,agent_number,license_state,channel,territory_code,appointment_date,status
AGT00386,PTY005386,AN-000386,VI,independent,TERR-13,2025-06-26,active
AGT00387,PTY005387,AN-000387,MS,broker,TERR-28,2020-09-06,inactive
AGT00388,PTY005388,AN-000388,VA,exclusive,TERR-03,2023-12-03,active
AGT00389,PTY005389,AN-000389,GA,broker,TERR-39,2017-03-31,inactive
AGT00390,PTY005390,AN-000390,NM,partner,TERR-04,2016-12-13,inactive
AGT00391,PTY005391,AN-000391,MD,direct,TERR-11,2026-07-06,terminated
AGT00392,PTY005392,AN-000392,CT,partner,TERR-34,2023-08-30,inactive
AGT00393,PTY005393,AN-000393,IA,broker,TERR-17,2018-10-19,terminated
AGT00394,PTY005394,AN-000394,PR,exclusive,TERR-16,2020-09-18,terminated
AGT00395,PTY005395,AN-000395,ID,exclusive,TERR-34,2023-01-29,inactive
AGT00396,PTY005396,AN-000396,WA,direct,TERR-06,2022-04-08,active
AGT00397,PTY005397,AN-000397,NM,broker,TERR-04,2021-09-21,terminated
AGT00398,PTY005398,AN-000398,IL,independent,TERR-07,2020-02-10,terminated
AGT00399,PTY005399,AN-000399,IN,partner,TERR-02,2020-07-21,active
AGT00400,PTY005400,AN-000400,MN,partner,TERR-13,2023-11-11,active
AGT00401,PTY005401,AN-000401,SD,direct,TERR-38,2025-07-08,active
AGT00402,PTY005402,AN-000402,RI,independent,TERR-32,2018-01-12,inactive
AGT00403,PTY005403,AN-000403,PA,partner,TERR-36,2020-07-22,active
AGT00404,PTY005404,AN-000404,AL,independent,TERR-11,2017-01-15,active
AGT00405,PTY005405,AN-000405,LA,direct,TERR-14,2016-09-20,active
AGT00406,PTY005406,AN-000406,KY,broker,TERR-12,2026-03-29,active
AGT00407,PTY005407,AN-000407,SD,independent,TERR-16,2015-02-18,terminated
AGT00408,PTY005408,AN-000408,OK,broker,TERR-10,2017-03-25,active
AGT00409,PTY005409,AN-000409,ME,independent,TERR-16,2016-08-22,inactive
AGT00410,PTY005410,AN-000410,GU,exclusive,TERR-19,2019-11-12,active
AGT00411,PTY005411,AN-000411,ND,exclusive,TERR-11,2018-12-24,inactive
AGT00412,PTY005412,AN-000412,GU,independent,TERR-16,2016-01-08,active
AGT00413,PTY005413,AN-000413,WY,direct,TERR-12,2024-07-25,active
AGT00414,PTY005414,AN-000414,NE,independent,TERR-40,2017-07-09,active
AGT00415,PTY005415,AN-000415,IA,independent,TERR-07,2015-05-29,inactive
AGT00416,PTY005416,AN-000416,AR,broker,TERR-26,2025-11-24,terminated
AGT00417,PTY005417,AN-000417,WA,exclusive,TERR-01,2015-04-23,active
AGT00418,PTY005418,AN-000418,WA,direct,TERR-25,2016-10-10,active
AGT00419,PTY005419,AN-000419,IN,independent,TERR-19,2019-10-08,active
AGT00420,PTY005420,AN-000420,AS,broker,TERR-14,2020-05-07,terminated
AGT00421,PTY005421,AN-000421,FM,exclusive,TERR-24,2025-10-15,active
AGT00422,PTY005422,AN-000422,NJ,broker,TERR-32,2022-01-04,active
AGT00423,PTY005423,AN-000423,AZ,partner,TERR-08,2024-10-06,active
AGT00424,PTY005424,AN-000424,PA,exclusive,TERR-36,2025-06-07,inactive
AGT00425,PTY005425,AN-000425,UT,independent,TERR-31,2015-03-30,active
AGT00426,PTY005426,AN-000426,MS,exclusive,TERR-17,2019-03-07,active
AGT00427,PTY005427,AN-000427,KY,partner,TERR-16,2016-01-17,terminated
AGT00428,PTY005428,AN-000428,NJ,partner,TERR-13,2015-03-21,active
AGT00429,PTY005429,AN-000429,HI,independent,TERR-14,2017-07-23,active
AGT00430,PTY005430,AN-000430,TN,direct,TERR-01,2017-07-16,active
AGT00431,PTY005431,AN-000431,TN,partner,TERR-14,2023-05-28,active
AGT00432,PTY005432,AN-000432,OR,exclusive,TERR-35,2020-12-13,active
AGT00433,PTY005433,AN-000433,MA,broker,TERR-12,2018-02-11,inactive
AGT00434,PTY005434,AN-000434,NM,independent,TERR-24,2023-08-15,active
AGT00435,PTY005435,AN-000435,NM,independent,TERR-06,2015-12-18,active
AGT00436,PTY005436,AN-000436,NH,exclusive,TERR-28,2017-07-04,inactive
AGT00437,PTY005437,AN-000437,VI,broker,TERR-11,2022-10-08,terminated
AGT00438,PTY005438,AN-000438,FM,independent,TERR-25,2019-10-29,inactive
AGT00439,PTY005439,AN-000439,IA,exclusive,TERR-06,2015-08-06,inactive
AGT00440,PTY005440,AN-000440,RI,partner,TERR-08,2025-01-01,active
AGT00441,PTY005441,AN-000441,AZ,direct,TERR-35,2024-09-17,inactive
AGT00442,PTY005442,AN-000442,NM,partner,TERR-01,2018-01-16,active
AGT00443,PTY005443,AN-000443,NC,exclusive,TERR-22,2022-03-05,active
AGT00444,PTY005444,AN-000444,OK,direct,TERR-17,2026-05-17,active
AGT00445,PTY005445,AN-000445,SC,direct,TERR-15,2024-09-11,active
AGT00446,PTY005446,AN-000446,NV,independent,TERR-03,2018-10-29,terminated
AGT00447,PTY005447,AN-000447,SC,exclusive,TERR-31,2021-09-14,active
AGT00448,PTY005448,AN-000448,MA,exclusive,TERR-19,2019-09-06,active
AGT00449,PTY005449,AN-000449,TN,independent,TERR-05,2023-02-05,terminated
AGT00450,PTY005450,AN-000450,NY,broker,TERR-05,2026-09-15,active
AGT00451,PTY005451,AN-000451,MA,exclusive,TERR-29,2022-09-08,active
AGT00452,PTY005452,AN-000452,MT,exclusive,TERR-34,2022-03-04,active
AGT00453,PTY005453,AN-000453,NC,broker,TERR-11,2026-04-03,terminated
AGT00454,PTY005454,AN-000454,CA,direct,TERR-32,2021-07-13,inactive
AGT00455,PTY005455,AN-000455,GU,independent,TERR-32,2016-05-25,terminated
AGT00456,PTY005456,AN-000456,DE,direct,TERR-29,2020-08-14,terminated
AGT00457,PTY005457,AN-000457,PA,exclusive,TERR-01,2026-01-14,terminated
AGT00458,PTY005458,AN-000458,NV,exclusive,TERR-29,2020-02-05,inactive
AGT00459,PTY005459,AN-000459,TX,broker,TERR-03,2021-02-11,active
AGT00460,PTY005460,AN-000460,MN,independent,TERR-21,2026-06-09,active
AGT00461,PTY005461,AN-000461,CA,exclusive,TERR-32,2015-03-05,active
AGT00462,PTY005462,AN-000462,MS,independent,TERR-30,2024-11-28,terminated
AGT00463,PTY005463,AN-000463,WA,independent,TERR-09,2024-12-05,terminated
AGT00464,PTY005464,AN-000464,NJ,partner,TERR-02,2019-03-16,active
AGT00465,PTY005465,AN-000465,PR,independent,TERR-01,2020-04-19,active
AGT00466,PTY005466,AN-000466,RI,exclusive,TERR-11,2017-06-03,active
AGT00467,PTY005467,AN-000467,SD,broker,TERR-02,2019-05-03,inactive
AGT00468,PTY005468,AN-000468,SC,direct,TERR-35,2019-05-21,active
AGT00469,PTY005469,AN-000469,MH,partner,TERR-39,2016-08-20,active
AGT00470,PTY005470,AN-000470,DC,exclusive,TERR-12,2023-02-28,active
AGT00471,PTY005471,AN-000471,PA,direct,TERR-21,2015-12-06,active
AGT00472,PTY005472,AN-000472,ME,direct,TERR-18,2016-06-25,inactive
AGT00473,PTY005473,AN-000473,MI,exclusive,TERR-30,2016-09-28,active
AGT00474,PTY005474,AN-000474,NM,broker,TERR-35,2023-10-24,active
AGT00475,PTY005475,AN-000475,CA,partner,TERR-28,2024-11-12,terminated
AGT00476,PTY005476,AN-000476,MO,independent,TERR-06,2024-02-05,active
AGT00477,PTY005477,AN-000477,MS,exclusive,TERR-29,2020-09-16,terminated
AGT00478,PTY005478,AN-000478,MN,broker,TERR-20,2015-07-26,terminated
AGT00479,PTY005479,AN-000479,NH,independent,TERR-35,2016-10-19,terminated
AGT00480,PTY005480,AN-000480,RI,partner,TERR-04,2017-09-13,active
AGT00481,PTY005481,AN-000481,KS,broker,TERR-22,2017-03-28,inactive
AGT00482,PTY005482,AN-000482,PA,direct,TERR-30,2026-03-18,inactive
AGT00483,PTY005483,AN-000483,MI,exclusive,TERR-38,2024-05-01,active
AGT00484,PTY005484,AN-000484,MI,broker,TERR-37,2017-11-24,inactive
AGT00485,PTY005485,AN-000485,RI,exclusive,TERR-31,2015-08-26,active
AGT00486,PTY005486,AN-000486,CO,exclusive,TERR-29,2018-06-09,inactive
AGT00487,PTY005487,AN-000487,AR,broker,TERR-05,2021-11-15,inactive
AGT00488,PTY005488,AN-000488,MI,exclusive,TERR-09,2025-06-20,active
AGT00489,PTY005489,AN-000489,MA,partner,TERR-01,2019-08-12,active
AGT00490,PTY005490,AN-000490,GA,independent,TERR-20,2022-11-07,inactive
AGT00491,PTY005491,AN-000491,VA,independent,TERR-29,2026-04-28,inactive
AGT00492,PTY005492,AN-000492,OK,broker,TERR-13,2018-01-18,active
AGT00493,PTY005493,AN-000493,OR,partner,TERR-23,2016-04-30,terminated
AGT00494,PTY005494,AN-000494,NH,partner,TERR-18,2019-02-04,terminated
AGT00495,PTY005495,AN-000495,PA,independent,TERR-24,2025-08-21,terminated
AGT00496,PTY005496,AN-000496,PA,independent,TERR-30,2026-03-10,active
AGT00497,PTY005497,AN-000497,DE,independent,TERR-22,2019-04-07,inactive
AGT00498,PTY005498,AN-000498,PR,independent,TERR-17,2015-05-11,active
AGT00499,PTY005499,AN-000499,AK,partner,TERR-33,2020-06-11,inactive
AGT00500,PTY005500,AN-000500,RI,independent,TERR-39,2024-07-02,terminated
