policy_coverage_id,policy_id,coverage_code,coverage_name,coverage_status,limit_amount,deductible_amount,effective_date,expiration_date
COV000887,POL000987,COLL,Collision,active,248525.41,1982.17,2026-05-12,2027-05-12
COV000888,POL000988,COLL,Collision,active,55771.35,939.43,2024-01-19,2025-01-18
COV000889,POL000989,MED,Medical Payments,active,98696.7,4485.08,2023-12-04,2024-12-03
COV000890,POL000990,PD,Property Damage,active,231625.18,1899.57,2024-04-18,2025-04-18
COV000891,POL000991,COMP,Comprehensive,active,182948.76,3253.91,2025-07-26,2026-07-26
COV000892,POL000992,COMP,Comprehensive,active,467879.49,2186.86,2023-10-25,2024-10-24
COV000893,POL000993,MED,Medical Payments,active,83260.3,1022.79,2025-10-18,2026-10-18
COV000894,POL000994,BI,Bodily Injury,active,42223.42,1949.18,2025-07-19,2026-07-19
COV000895,POL000995,COMP,Comprehensive,active,351036.27,1893.21,2025-11-10,2026-11-10
COV000896,POL000996,PD,Property Damage,active,48103.03,3404.43,2026-07-09,2027-07-09
COV000897,POL000997,BI,Bodily Injury,active,254031.58,3667.22,2026-02-18,2027-02-18
COV000898,POL000998,PD,Property Damage,active,322897.07,3078.99,2024-05-22,2025-05-22
COV000899,POL000999,MED,Medical Payments,active,242854.11,4460.2,2025-05-17,2026-05-17
COV000900,POL001000,COLL,Collision,active,432539.6,2508.19,2023-04-14,2024-04-13
COV000901,POL001001,COMP,Comprehensive,active,312847.72,1269.38,2024-12-02,2025-12-02
COV000902,POL001002,COMP,Comprehensive,active,319126.68,4112.91,2025-12-18,2026-12-18
COV000903,POL001003,COMP,Comprehensive,active,104431.02,2903.19,2024-12-18,2025-12-18
COV000904,POL001004,COMP,Comprehensive,active,288221.79,4939.62,2024-06-27,2025-06-27
COV000905,POL001005,PD,Property Damage,active,351935.33,2837.62,2025-04-28,2026-04-28
COV000906,POL001006,BI,Bodily Injury,active,71065.0,2489.56,2026-06-03,2027-06-03
COV000907,POL001007,BI,Bodily Injury,active,213351.71,2562.24,2026-09-05,2027-09-05
COV000908,POL001008,BI,Bodily Injury,active,352430.75,4778.7,2023-09-10,2024-09-09
COV000909,POL001009,MED,Medical Payments,active,229807.82,4096.99,2024-01-09,2025-01-08
COV000910,POL001010,PD,Property Damage,active,283192.25,3024.75,2024-06-08,2025-06-08
COV000911,POL001011,COMP,Comprehensive,active,390372.79,1157.0,2025-08-09,2026-08-09
COV000912,POL001012,COMP,Comprehensive,active,472110.29,2621.07,2025-06-28,2026-06-28
COV000913,POL001013,BI,Bodily Injury,active,88479.52,2903.74,2023-09-24,2024-09-23
COV000914,POL001014,BI,Bodily Injury,active,409264.91,3850.09,2026-09-07,2027-09-07
COV000915,POL001015,COMP,Comprehensive,active,383240.29,4375.96,2023-01-07,2024-01-07
COV000916,POL001016,MED,Medical Payments,active,441975.94,2453.61,2025-10-02,2026-10-02
COV000917,POL001017,BI,Bodily Injury,active,144539.16,3163.27,2025-11-25,2026-11-25
COV000918,POL001018,BI,Bodily Injury,active,294513.16,4102.76,2026-06-27,2027-06-27
COV000919,POL001019,MED,Medical Payments,active,334631.08,1291.04,2024-09-07,2025-09-07
COV000920,POL001020,PD,Property Damage,active,376420.49,1801.64,2024-04-04,2025-04-04
COV000921,POL001021,MED,Medical Payments,active,460342.63,496.34,2023-12-06,2024-12-05
COV000922,POL001022,COLL,Collision,active,482844.55,1147.77,2024-12-21,2025-12-21
COV000923,POL001023,PD,Property Damage,active,169731.53,372.85,2025-10-08,2026-10-08
COV000924,POL001024,COMP,Comprehensive,active,484494.16,3803.98,2023-05-25,2024-05-24
COV000925,POL001025,MED,Medical Payments,active,386179.55,3809.78,2024-03-12,2025-03-12
COV000926,POL001026,PD,Property Damage,active,473315.34,2876.56,2026-06-16,2027-06-16
COV000927,POL001027,MED,Medical Payments,active,283405.65,1404.53,2023-04-14,2024-04-13
COV000928,POL001028,PD,Property Damage,active,124768.76,3477.75,2025-12-18,2026-12-18
COV000929,POL001029,COLL,Collision,active,122128.02,3376.92,2025-08-08,2026-08-08
COV000930,POL001030,COMP,Comprehensive,active,379054.83,530.23,2024-04-10,2025-04-10
COV000931,POL001031,MED,Medical Payments,active,101758.96,3237.79,2026-06-11,2027-06-11
COV000932,POL001032,MED,Medical Payments,active,468697.34,3110.9,2026-05-09,2027-05-09
COV000933,POL001033,COMP,Comprehensive,active,295032.35,2642.95,2023-12-10,2024-12-09
COV000934,POL001034,COMP,Comprehensive,active,478213.54,2797.2,2024-01-02,2025-01-01
COV000935,POL001035,COMP,Comprehensive,active,473763.13,1837.85,2023-07-01,2024-06-30
COV000936,POL001036,COMP,Comprehensive,active,187548.14,2568.72,2026-01-08,2027-01-08
COV000937,POL001037,COLL,Collision,active,167980.27,4266.85,2023-07-18,2024-07-17
COV000938,POL001038,PD,Property Damage,active,244736.42,498.49,2026-04-30,2027-04-30
COV000939,POL001039,COLL,Collision,active,138840.01,1641.92,2026-03-22,2027-03-22
COV000940,POL001040,BI,Bodily Injury,active,156994.33,2738.73,2026-02-06,2027-02-06
COV000941,POL001041,BI,Bodily Injury,active,164521.06,917.52,2023-06-02,2024-06-01
COV000942,POL001042,BI,Bodily Injury,active,485046.44,4652.78,2025-04-27,2026-04-27
COV000943,POL001043,MED,Medical Payments,active,451412.63,3144.79,2023-08-13,2024-08-12
COV000944,POL001044,MED,Medical Payments,active,91929.08,1634.74,2024-01-28,2025-01-27
COV000945,POL001045,COMP,Comprehensive,active,235385.31,1268.78,2024-12-28,2025-12-28
COV000946,POL001046,COLL,Collision,active,257084.83,3111.53,2023-06-08,2024-06-07
COV000947,POL001047,PD,Property Damage,active,267397.57,4666.48,2023-07-08,2024-07-07
COV000948,POL001048,COLL,Collision,active,397556.25,788.99,2023-06-16,2024-06-15
COV000949,POL001049,BI,Bodily Injury,active,119627.27,2405.02,2025-02-14,2026-02-14
COV000950,POL001050,BI,Bodily Injury,active,460284.89,3062.58,2025-07-26,2026-07-26
COV000951,POL001051,MED,Medical Payments,active,450724.71,3752.48,2023-06-21,2024-06-20
COV000952,POL001052,MED,Medical Payments,active,293401.42,351.39,2023-02-13,2024-02-13
COV000953,POL001053,COMP,Comprehensive,active,241223.3,4501.78,2025-05-22,2026-05-22
COV000954,POL001054,COLL,Collision,active,127830.98,347.17,2025-05-06,2026-05-06
COV000955,POL001055,BI,Bodily Injury,active,372552.13,2567.94,2024-03-26,2025-03-26
COV000956,POL001056,BI,Bodily Injury,active,489544.75,4768.56,2026-05-06,2027-05-06
COV000957,POL001057,PD,Property Damage,active,414731.04,1114.81,2023-11-02,2024-11-01
COV000958,POL001058,COMP,Comprehensive,active,199555.65,2721.55,2023-04-26,2024-04-25
COV000959,POL001059,BI,Bodily Injury,active,499704.39,293.96,2023-04-22,2024-04-21
COV000960,POL001060,PD,Property Damage,active,85974.98,602.11,2023-08-31,2024-08-30
COV000961,POL001061,PD,Property Damage,active,416724.96,2657.53,2023-08-01,2024-07-31
COV000962,POL001062,COLL,Collision,active,317710.01,4578.88,2025-03-04,2026-03-04
COV000963,POL001063,BI,Bodily Injury,active,288569.54,2308.52,2023-11-01,2024-10-31
COV000964,POL001064,BI,Bodily Injury,active,443306.9,318.87,2025-09-30,2026-09-30
COV000965,POL001065,COMP,Comprehensive,active,62910.7,3829.7,2026-01-09,2027-01-09
COV000966,POL001066,COMP,Comprehensive,active,492445.25,2605.64,2026-06-27,2027-06-27
COV000967,POL001067,COMP,Comprehensive,active,67143.02,2202.38,2023-12-29,2024-12-28
COV000968,POL001068,COMP,Comprehensive,active,377439.9,4789.53,2024-04-24,2025-04-24
COV000969,POL001069,COMP,Comprehensive,active,191411.75,4027.81,2024-06-11,2025-06-11
COV000970,POL001070,COLL,Collision,active,294113.6,2665.7,2024-02-03,2025-02-02
COV000971,POL001071,BI,Bodily Injury,active,322297.1,4865.85,2023-06-29,2024-06-28
COV000972,POL001072,COMP,Comprehensive,active,119825.29,4393.42,2024-07-21,2025-07-21
COV000973,POL001073,BI,Bodily Injury,active,197737.09,1646.04,2025-04-10,2026-04-10
COV000974,POL001074,COMP,Comprehensive,active,295778.16,4512.41,2024-10-29,2025-10-29
COV000975,POL001075,PD,Property Damage,active,44759.59,2813.68,2026-09-15,2027-09-15
COV000976,POL001076,BI,Bodily Injury,active,248780.7,3205.44,2024-04-01,2025-04-01
COV000977,POL001077,PD,Property Damage,active,153384.6,2179.15,2024-05-09,2025-05-09
COV000978,POL001078,BI,Bodily Injury,active,437721.85,3051.38,2024-09-14,2025-09-14
COV000979,POL001079,BI,Bodily Injury,active,423016.49,4829.88,2024-12-11,2025-12-11
COV000980,POL001080,PD,Property Damage,active,209390.1,4193.49,2024-04-01,2025-04-01
COV000981,POL001081,COMP,Comprehensive,active,426655.49,3727.65,2026-07-05,2027-07-05
COV000982,POL001082,MED,Medical Payments,active,203327.73,1755.48,2023-02-13,2024-02-13
COV000983,POL001083,MED,Medical Payments,active,306820.57,621.4,2025-12-06,2026-12-06
COV000984,POL001084,MED,Medical Payments,active,425184.23,3353.33,2025-05-23,2026-05-23
COV000985,POL001085,PD,Property Damage,active,253410.97,1757.34,2023-11-08,2024-11-07
COV000986,POL001086,PD,Property Damage,active,239970.87,2538.31,2023-04-13,2024-04-12
COV000987,POL001087,PD,Property Damage,active,371984.31,4576.11,2026-02-09,2027-02-09
COV000988,POL001088,PD,Property Damage,active,453278.15,4728.54,2026-04-22,2027-04-22
COV000989,POL001089,COLL,Collision,active,78032.64,4997.33,2023-03-10,2024-03-09
COV000990,POL001090,BI,Bodily Injury,active,205648.17,550.54,2025-04-27,2026-04-27
COV000991,POL001091,MED,Medical Payments,active,421261.77,1861.29,2023-11-08,2024-11-07
COV000992,POL001092,BI,Bodily Injury,active,398577.46,2657.78,2026-08-14,2027-08-14
COV000993,POL001093,BI,Bodily Injury,active,394641.11,978.55,2024-03-09,2025-03-09
COV000994,POL001094,COMP,Comprehensive,active,30910.04,1741.65,2023-01-21,2024-01-21
COV000995,POL001095,MED,Medical Payments,active,125516.05,1725.71,2023-10-02,2024-10-01
COV000996,POL001096,BI,Bodily Injury,active,381610.81,4691.18,2025-08-27,2026-08-27
COV000997,POL001097,PD,Property Damage,active,443405.48,3345.2,2023-12-19,2024-12-18
COV000998,POL001098,COMP,Comprehensive,active,249884.45,4012.84,2024-07-23,2025-07-23
COV000999,POL001099,BI,Bodily Injury,active,172223.27,1493.71,2023-08-29,2024-08-28
COV001000,POL001100,BI,Bodily Injury,active,53720.78,2424.22,2023-07-24,2024-07-23
COV001001,POL001101,MED,Medical Payments,active,256630.43,2855.93,2026-01-22,2027-01-22
COV001002,POL001102,PD,Property Damage,active,64324.16,1869.52,2025-08-21,2026-08-21
COV001003,POL001103,PD,Property Damage,active,255502.93,4800.55,2023-08-29,2024-08-28
COV001004,POL001104,BI,Bodily Injury,active,77348.56,3473.45,2024-03-27,2025-03-27
COV001005,POL001105,COMP,Comprehensive,active,231551.82,1869.71,2024-02-23,2025-02-22
COV001006,POL001106,BI,Bodily Injury,active,217774.71,3875.72,2023-12-06,2024-12-05
COV001007,POL001107,PD,Property Damage,active,29609.03,3357.46,2023-01-26,2024-01-26
COV001008,POL001108,BI,Bodily Injury,active,37116.76,2802.33,2025-12-07,2026-12-07
COV001009,POL001109,COLL,Collision,active,400590.4,3345.26,2023-03-27,2024-03-26
COV001010,POL001110,PD,Property Damage,active,99325.47,1690.44,2024-12-12,2025-12-12
COV001011,POL001111,BI,Bodily Injury,active,329846.91,1008.68,2025-05-26,2026-05-26
COV001012,POL001112,COMP,Comprehensive,active,245837.79,4168.4,2025-08-06,2026-08-06
COV001013,POL001113,COMP,Comprehensive,active,99346.55,4706.2,2026-01-07,2027-01-07
COV001014,POL001114,COMP,Comprehensive,active,263008.69,1751.98,2023-06-19,2024-06-18
COV001015,POL001115,BI,Bodily Injury,active,120555.15,2542.2,2025-01-27,2026-01-27
COV001016,POL001116,COMP,Comprehensive,active,184697.94,2912.93,2024-03-16,2025-03-16
COV001017,POL001117,PD,Property Damage,active,91874.21,503.72,2025-09-03,2026-09-03
COV001018,POL001118,BI,Bodily Injury,active,275746.03,4500.72,2025-05-13,2026-05-13
COV001019,POL001119,MED,Medical Payments,active,347863.19,4464.19,2026-01-05,2027-01-05
COV001020,POL001120,COMP,Comprehensive,active,93792.1,4432.56,2024-01-13,2025-01-12
COV001021,POL001121,PD,Property Damage,active,101015.6,3128.32,2023-11-04,2024-11-03
COV001022,POL001122,COMP,Comprehensive,active,339131.0,1705.42,2025-07-16,2026-07-16
COV001023,POL001123,BI,Bodily Injury,active,34317.29,3045.4,2025-03-07,2026-03-07
COV001024,POL001124,PD,Property Damage,active,37807.72,2574.54,2025-02-24,2026-02-24
COV001025,POL001125,COMP,Comprehensive,active,461270.28,1266.75,2024-02-25,2025-02-24
COV001026,POL001126,COMP,Comprehensive,active,259147.65,3308.66,2026-04-19,2027-04-19
COV001027,POL001127,COLL,Collision,active,447667.57,3874.67,2023-06-03,2024-06-02
COV001028,POL001128,PD,Property Damage,active,31107.15,3767.4,2026-08-28,2027-08-28
COV001029,POL001129,PD,Property Damage,active,242105.68,2990.17,2026-09-09,2027-09-09
COV001030,POL001130,MED,Medical Payments,active,116169.05,2892.48,2023-05-25,2024-05-24
COV001031,POL001131,PD,Property Damage,active,295882.23,2718.3,2024-01-15,2025-01-14
COV001032,POL001132,COLL,Collision,active,150948.79,2159.93,2024-05-17,2025-05-17
COV001033,POL001133,MED,Medical Payments,active,29186.63,2375.03,2024-11-13,2025-11-13
COV001034,POL001134,BI,Bodily Injury,active,70275.25,2519.74,2026-04-05,2027-04-05
COV001035,POL001135,COMP,Comprehensive,active,239432.87,1901.97,2026-01-25,2027-01-25
COV001036,POL001136,PD,Property Damage,active,331204.16,4981.05,2025-11-28,2026-11-28
COV001037,POL001137,MED,Medical Payments,active,83213.38,2424.16,2025-07-31,2026-07-31
COV001038,POL001138,COLL,Collision,active,228489.83,3700.67,2023-02-22,2024-02-22
COV001039,POL001139,MED,Medical Payments,active,375509.63,2910.42,2026-02-17,2027-02-17
COV001040,POL001140,BI,Bodily Injury,active,108405.88,339.82,2023-10-03,2024-10-02
COV001041,POL001141,MED,Medical Payments,active,34836.87,4351.29,2024-03-11,2025-03-11
COV001042,POL001142,BI,Bodily Injury,active,358467.44,2437.91,2023-06-05,2024-06-04
COV001043,POL001143,BI,Bodily Injury,active,343724.25,2354.51,2024-08-31,2025-08-31
COV001044,POL001144,COMP,Comprehensive,active,481884.1,1828.21,2024-11-05,2025-11-05
COV001045,POL001145,COMP,Comprehensive,active,450336.53,2903.55,2026-02-11,2027-02-11
COV001046,POL001146,MED,Medical Payments,active,262810.01,4447.81,2025-08-25,2026-08-25
COV001047,POL001147,PD,Property Damage,active,406248.72,1022.1,2023-11-23,2024-11-22
COV001048,POL001148,MED,Medical Payments,active,122356.31,1708.48,2023-01-16,2024-01-16
COV001049,POL001149,BI,Bodily Injury,active,288767.77,330.97,2025-09-29,2026-09-29
COV001050,POL001150,COMP,Comprehensive,active,289827.27,3034.25,2024-05-15,2025-05-15
COV001051,POL001151,COLL,Collision,active,33138.3,3629.02,2023-07-08,2024-07-07
COV001052,POL001152,COLL,Collision,active,99463.48,4107.33,2024-03-23,2025-03-23
COV001053,POL001153,MED,Medical Payments,active,262182.82,4298.12,2023-12-09,2024-12-08
COV001054,POL001154,COMP,Comprehensive,active,129762.18,1047.77,2026-03-23,2027-03-23
COV001055,POL001155,COMP,Comprehensive,active,388201.45,1345.47,2025-07-30,2026-07-30
COV001056,POL001156,COMP,Comprehensive,active,449479.38,4915.1,2026-07-29,2027-07-29
COV001057,POL001157,COLL,Collision,active,224821.05,2643.08,2025-07-08,2026-07-08
COV001058,POL001158,COMP,Comprehensive,active,85978.4,1408.86,2023-07-06,2024-07-05
COV001059,POL001159,BI,Bodily Injury,active,187898.61,1587.88,2025-03-04,2026-03-04
COV001060,POL001160,COMP,Comprehensive,active,459642.03,3593.77,2025-10-11,2026-10-11
COV001061,POL001161,MED,Medical Payments,active,309723.64,4800.63,2026-03-16,2027-03-16
COV001062,POL001162,COLL,Collision,active,193062.81,1379.83,2024-12-19,2025-12-19
COV001063,POL001163,MED,Medical Payments,active,133839.17,398.36,2024-01-19,2025-01-18
COV001064,POL001164,COMP,Comprehensive,active,354988.34,1449.23,2024-07-11,2025-07-11
COV001065,POL001165,PD,Property Damage,active,401379.31,4119.79,2023-06-02,2024-06-01
COV001066,POL001166,COLL,Collision,active,328994.85,1552.18,2023-03-02,2024-03-01
COV001067,POL001167,COMP,Comprehensive,active,142972.26,2962.75,2024-08-23,2025-08-23
COV001068,POL001168,MED,Medical Payments,active,87775.68,3917.03,2026-07-17,2027-07-17
COV001069,POL001169,PD,Property Damage,active,449587.92,4862.8,2024-03-31,2025-03-31
COV001070,POL001170,PD,Property Damage,active,83634.2,936.37,2025-09-11,2026-09-11
COV001071,POL001171,COLL,Collision,active,449010.02,289.17,2023-02-09,2024-02-09
COV001072,POL001172,PD,Property Damage,active,99149.25,4120.16,2023-10-18,2024-10-17
COV001073,POL001173,PD,Property Damage,active,274516.69,4875.26,2025-05-31,2026-05-31
COV001074,POL001174,MED,Medical Payments,active,369484.22,4028.21,2024-04-06,2025-04-06
COV001075,POL001175,PD,Property Damage,active,497837.61,3751.7,2024-08-17,2025-08-17
COV001076,POL001176,BI,Bodily Injury,active,52498.83,1922.54,2023-08-05,2024-08-04
COV001077,POL001177,BI,Bodily Injury,active,226147.88,3863.77,2025-02-07,2026-02-07
COV001078,POL001178,BI,Bodily Injury,active,383506.11,2740.17,2023-01-15,2024-01-15
COV001079,POL001179,BI,Bodily Injury,active,442472.17,4095.12,2024-12-15,2025-12-15
COV001080,POL001180,COLL,Collision,active,386487.46,4571.56,2025-03-09,2026-03-09
COV001081,POL001181,COLL,Collision,active,250119.27,3303.13,2024-07-28,2025-07-28
COV001082,POL001182,COMP,Comprehensive,active,114360.75,912.61,2025-11-21,2026-11-21
COV001083,POL001183,MED,Medical Payments,active,211608.63,3406.8,2024-12-09,2025-12-09
COV001084,POL001184,COLL,Collision,active,248501.77,4639.79,2023-01-21,2024-01-21
COV001085,POL001185,COMP,Comprehensive,active,94060.32,2350.64,2023-03-03,2024-03-02
COV001086,POL001186,COMP,Comprehensive,active,363456.55,4397.03,2025-09-26,2026-09-26
COV001087,POL001187,COLL,Collision,active,101214.28,1054.06,2025-08-18,2026-08-18
COV001088,POL001188,BI,Bodily Injury,active,411358.57,1517.83,2024-08-30,2025-08-30
COV001089,POL001189,PD,Property Damage,active,213099.85,676.4,2023-04-12,2024-04-11
COV001090,POL001190,COMP,Comprehensive,active,478672.9,1139.19,2025-08-21,2026-08-21
COV001091,POL001191,PD,Property Damage,active,288318.78,501.83,2023-10-12,2024-10-11
COV001092,POL001192,MED,Medical Payments,active,232010.73,4443.82,2023-02-20,2024-02-20
COV001093,POL001193,MED,Medical Payments,active,494922.62,2731.88,2023-08-27,2024-08-26
COV001094,POL001194,MED,Medical Payments,active,442689.93,743.81,2024-02-10,2025-02-09
COV001095,POL001195,COLL,Collision,active,167219.57,1813.3,2023-01-27,2024-01-27
COV001096,POL001196,PD,Property Damage,active,364087.1,3917.45,2026-09-15,2027-09-15
COV001097,POL001197,PD,Property Damage,active,260509.93,296.38,2024-01-17,2025-01-16
COV001098,POL001198,BI,Bodily Injury,active,144395.39,776.61,2023-05-22,2024-05-21
COV001099,POL001199,BI,Bodily Injury,active,107310.26,1202.37,2025-07-08,2026-07-08
COV001100,POL001200,COLL,Collision,active,392222.93,2917.1,2026-02-07,2027-02-07
COV001101,POL001201,COMP,Comprehensive,active,470649.5,576.26,2025-04-11,2026-04-11
COV001102,POL001202,MED,Medical Payments,active,84803.28,2489.57,2025-05-16,2026-05-16
COV001103,POL001203,BI,Bodily Injury,active,140883.3,2871.18,2025-02-22,2026-02-22
COV001104,POL001204,PD,Property Damage,active,346964.66,587.4,2025-08-07,2026-08-07
COV001105,POL001205,PD,Property Damage,active,476783.21,3386.29,2026-02-10,2027-02-10
COV001106,POL001206,COLL,Collision,active,336548.76,3014.14,2024-05-22,2025-05-22
COV001107,POL001207,PD,Property Damage,active,230115.16,1805.01,2026-03-31,2027-03-31
COV001108,POL001208,BI,Bodily Injury,active,226132.97,2717.0,2024-12-06,2025-12-06
COV001109,POL001209,COLL,Collision,active,95156.04,3340.07,2024-10-22,2025-10-22
COV001110,POL001210,BI,Bodily Injury,active,310383.5,608.08,2026-01-14,2027-01-14
COV001111,POL001211,BI,Bodily Injury,active,282543.28,4809.95,2023-09-08,2024-09-07
COV001112,POL001212,COMP,Comprehensive,active,30358.25,3848.97,2024-02-25,2025-02-24
COV001113,POL001213,COMP,Comprehensive,active,161075.21,2558.74,2025-06-05,2026-06-05
COV001114,POL001214,BI,Bodily Injury,active,443379.13,4505.52,2024-04-09,2025-04-09
COV001115,POL001215,BI,Bodily Injury,active,355249.18,2610.93,2026-07-29,2027-07-29
COV001116,POL001216,COLL,Collision,active,412648.09,2546.94,2023-09-09,2024-09-08
COV001117,POL001217,MED,Medical Payments,active,444264.32,355.84,2026-03-31,2027-03-31
COV001118,POL001218,COLL,Collision,active,315933.06,1407.66,2024-09-19,2025-09-19
COV001119,POL001219,MED,Medical Payments,active,200767.0,1364.87,2024-09-25,2025-09-25
COV001120,POL001220,COLL,Collision,active,143008.15,945.44,2026-08-10,2027-08-10
COV001121,POL001221,BI,Bodily Injury,active,354103.11,3858.43,2025-04-26,2026-04-26
COV001122,POL001222,COLL,Collision,active,96693.93,4645.99,2026-02-27,2027-02-27
COV001123,POL001223,BI,Bodily Injury,active,358924.38,2444.85,2024-06-25,2025-06-25
COV001124,POL001224,COLL,Collision,active,459570.27,4137.22,2026-06-15,2027-06-15
COV001125,POL001225,MED,Medical Payments,active,140204.43,4432.4,2023-08-12,2024-08-11
COV001126,POL001226,COMP,Comprehensive,active,404814.57,3925.99,2023-02-13,2024-02-13
COV001127,POL001227,PD,Property Damage,active,476807.07,3340.91,2025-11-04,2026-11-04
COV001128,POL001228,MED,Medical Payments,active,231812.72,2004.9,2026-07-08,2027-07-08
COV001129,POL001229,MED,Medical Payments,active,195107.24,2102.15,2024-07-02,2025-07-02
COV001130,POL001230,MED,Medical Payments,active,150329.19,3477.93,2024-03-16,2025-03-16
COV001131,POL001231,COLL,Collision,active,158927.09,885.41,2025-12-12,2026-12-12
COV001132,POL001232,PD,Property Damage,active,371082.66,3031.16,2025-09-13,2026-09-13
COV001133,POL001233,MED,Medical Payments,active,420511.19,4345.7,2023-05-14,2024-05-13
COV001134,POL001234,COMP,Comprehensive,active,92711.31,3835.96,2024-02-24,2025-02-23
COV001135,POL001235,MED,Medical Payments,active,393166.75,2193.96,2024-10-01,2025-10-01
COV001136,POL001236,COMP,Comprehensive,active,145970.56,2914.78,2025-07-14,2026-07-14
COV001137,POL001237,BI,Bodily Injury,active,144294.36,4558.31,2025-11-14,2026-11-14
COV001138,POL001238,COMP,Comprehensive,active,498217.18,1852.12,2023-02-08,2024-02-08
COV001139,POL001239,MED,Medical Payments,active,315261.74,301.67,2024-02-03,2025-02-02
COV001140,POL001240,MED,Medical Payments,active,132088.64,2403.99,2023-08-02,2024-08-01
COV001141,POL001241,PD,Property Damage,active,286847.7,4945.61,2024-06-25,2025-06-25
COV001142,POL001242,COMP,Comprehensive,active,329953.36,2311.48,2023-09-23,2024-09-22
COV001143,POL001243,MED,Medical Payments,active,499918.31,4000.28,2023-12-16,2024-12-15
COV001144,POL001244,PD,Property Damage,active,172057.01,3559.42,2025-07-25,2026-07-25
COV001145,POL001245,COLL,Collision,active,420182.49,360.73,2024-02-04,2025-02-03
COV001146,POL001246,BI,Bodily Injury,active,242558.87,355.48,2023-11-07,2024-11-06
COV001147,POL001247,COMP,Comprehensive,active,178759.44,428.01,2023-01-14,2024-01-14
COV001148,POL001248,COLL,Collision,active,169094.01,887.29,2024-04-15,2025-04-15
COV001149,POL001249,PD,Property Damage,active,61474.03,4459.97,2025-04-24,2026-04-24
COV001150,POL001250,COMP,Comprehensive,active,400255.17,469.09,2025-04-13,2026-04-13
COV001151,POL001251,BI,Bodily Injury,active,459997.0,2124.03,2025-08-30,2026-08-30
COV001152,POL001252,COLL,Collision,active,297464.65,4798.51,2023-06-03,2024-06-02
COV001153,POL001253,COLL,Collision,active,190800.63,633.0,2025-10-28,2026-10-28
COV001154,POL001254,PD,Property Damage,active,167229.63,3888.25,2025-09-23,2026-09-23
COV001155,POL001255,COMP,Comprehensive,active,245183.01,4321.28,2023-05-29,2024-05-28
COV001156,POL001256,COLL,Collision,active,379733.51,1351.46,2023-11-13,2024-11-12
COV001157,POL001257,MED,Medical Payments,active,207778.61,3447.52,2025-04-27,2026-04-27
COV001158,POL001258,COLL,Collision,active,286064.95,4849.13,2023-03-04,2024-03-03
COV001159,POL001259,BI,Bodily Injury,active,111349.95,4783.67,2025-12-23,2026-12-23
COV001160,POL001260,COMP,Comprehensive,active,480415.01,4928.17,2026-01-11,2027-01-11
COV001161,POL001261,COLL,Collision,active,261101.75,2197.71,2023-11-14,2024-11-13
COV001162,POL001262,COMP,Comprehensive,active,52085.03,3192.81,2025-05-21,2026-05-21
COV001163,POL001263,BI,Bodily Injury,active,213046.8,4730.9,2025-05-13,2026-05-13
COV001164,POL001264,MED,Medical Payments,active,104151.41,4191.85,2023-12-09,2024-12-08
COV001165,POL001265,MED,Medical Payments,active,470464.66,4676.33,2023-11-23,2024-11-22
COV001166,POL001266,BI,Bodily Injury,active,189796.7,2022.23,2023-03-02,2024-03-01
COV001167,POL001267,COMP,Comprehensive,active,485987.82,4059.3,2023-06-08,2024-06-07
COV001168,POL001268,PD,Property Damage,active,317785.29,918.62,2025-06-15,2026-06-15
COV001169,POL001269,MED,Medical Payments,active,84114.34,1150.45,2025-05-09,2026-05-09
COV001170,POL001270,PD,Property Damage,active,147742.02,2857.27,2024-01-16,2025-01-15
COV001171,POL001271,COMP,Comprehensive,active,230894.54,2480.53,2023-05-24,2024-05-23
COV001172,POL001272,MED,Medical Payments,active,128913.5,1195.51,2025-07-29,2026-07-29
COV001173,POL001273,PD,Property Damage,active,301964.58,3991.29,2024-11-10,2025-11-10
COV001174,POL001274,BI,Bodily Injury,active,96709.13,4758.13,2023-04-11,2024-04-10
COV001175,POL001275,MED,Medical Payments,active,208545.18,3392.23,2024-05-29,2025-05-29
COV001176,POL001276,PD,Property Damage,active,345803.97,2080.14,2025-09-01,2026-09-01
COV001177,POL001277,BI,Bodily Injury,active,150507.02,676.46,2024-07-11,2025-07-11
COV001178,POL001278,COMP,Comprehensive,active,378121.31,411.72,2025-12-10,2026-12-10
COV001179,POL001279,MED,Medical Payments,active,239098.33,4873.55,2025-10-31,2026-10-31
COV001180,POL001280,COMP,Comprehensive,active,63656.04,4135.84,2024-01-28,2025-01-27
COV001181,POL001281,PD,Property Damage,active,32506.75,4529.66,2024-01-25,2025-01-24
COV001182,POL001282,BI,Bodily Injury,active,388716.78,365.94,2024-10-26,2025-10-26
COV001183,POL001283,COLL,Collision,active,475832.27,1343.06,2023-05-08,2024-05-07
COV001184,POL001284,COLL,Collision,active,283645.63,1080.79,2026-04-18,2027-04-18
COV001185,POL001285,PD,Property Damage,active,241018.35,3904.07,2024-04-24,2025-04-24
COV001186,POL001286,COMP,Comprehensive,active,465538.77,2454.97,2023-01-06,2024-01-06
COV001187,POL001287,BI,Bodily Injury,active,79909.98,1875.75,2025-10-02,2026-10-02
COV001188,POL001288,COMP,Comprehensive,active,302458.83,3419.62,2025-11-15,2026-11-15
COV001189,POL001289,COLL,Collision,active,389911.43,2659.45,2025-04-26,2026-04-26
COV001190,POL001290,COMP,Comprehensive,active,29614.88,2716.98,2025-10-12,2026-10-12
