premium_id,policy_id,policy_coverage_id,premium_period_start,premium_period_end,transaction_type,written_premium_amount,earned_premium_amount
PREM000775,POL000875,COV000775,2025-12-28,2026-12-28,audit,411.82,249.05
PREM000776,POL000876,COV000776,2023-12-05,2024-12-04,audit,2332.02,1842.61
PREM000777,POL000877,COV000777,2025-04-29,2026-04-29,new_business,2890.38,2204.63
PREM000778,POL000878,COV000778,2025-01-02,2026-01-02,endorsement,2359.35,1893.93
PREM000779,POL000879,COV000779,2023-12-11,2024-12-10,audit,2616.23,1648.31
PREM000780,POL000880,COV000780,2025-01-31,2026-01-31,new_business,2807.08,2066.75
PREM000781,POL000881,COV000781,2025-03-12,2026-03-12,endorsement,2458.13,1975.86
PREM000782,POL000882,COV000782,2023-11-07,2024-11-06,cancellation,401.11,233.71
PREM000783,POL000883,COV000783,2024-01-30,2025-01-29,endorsement,1981.35,1441.12
PREM000784,POL000884,COV000784,2025-11-17,2026-11-17,audit,542.3,422.76
PREM000785,POL000885,COV000785,2024-07-19,2025-07-19,reinstatement,2078.41,1190.01
PREM000786,POL000886,COV000786,2024-07-03,2025-07-03,cancellation,958.26,541.31
PREM000787,POL000887,COV000787,2026-08-23,2027-08-23,renewal,2079.05,1618.82
PREM000788,POL000888,COV000788,2026-07-26,2027-07-26,audit,2678.22,2413.24
PREM000789,POL000889,COV000789,2025-06-14,2026-06-14,new_business,2392.33,1726.8
PREM000790,POL000890,COV000790,2026-02-28,2027-02-28,endorsement,1282.95,1006.67
PREM000791,POL000891,COV000791,2024-04-06,2025-04-06,audit,1565.36,1389.32
PREM000792,POL000892,COV000792,2025-12-28,2026-12-28,reinstatement,1939.23,1488.14
PREM000793,POL000893,COV000793,2024-05-16,2025-05-16,audit,1702.47,1442.17
PREM000794,POL000894,COV000794,2023-04-15,2024-04-14,reinstatement,1662.82,1294.06
PREM000795,POL000895,COV000795,2025-08-20,2026-08-20,renewal,1181.15,1114.14
PREM000796,POL000896,COV000796,2025-07-21,2026-07-21,endorsement,1572.5,1423.55
PREM000797,POL000897,COV000797,2023-04-08,2024-04-07,renewal,967.36,929.92
PREM000798,POL000898,COV000798,2026-01-22,2027-01-22,new_business,1665.83,1136.07
PREM000799,POL000899,COV000799,2024-03-05,2025-03-05,cancellation,1794.38,1082.01
PREM000800,POL000900,COV000800,2025-09-19,2026-09-19,reinstatement,1942.72,1131.48
PREM000801,POL000901,COV000801,2023-01-06,2024-01-06,cancellation,268.59,157.38
PREM000802,POL000902,COV000802,2023-10-14,2024-10-13,audit,1618.46,1537.15
PREM000803,POL000903,COV000803,2023-08-28,2024-08-27,reinstatement,324.15,170.28
PREM000804,POL000904,COV000804,2026-02-06,2027-02-06,audit,2178.39,1517.4
PREM000805,POL000905,COV000805,2026-06-28,2027-06-28,new_business,650.93,451.68
PREM000806,POL000906,COV000806,2023-02-20,2024-02-20,endorsement,1243.26,1027.64
PREM000807,POL000907,COV000807,2023-01-07,2024-01-07,reinstatement,1051.9,1015.55
PREM000808,POL000908,COV000808,2025-05-26,2026-05-26,audit,643.38,590.0
PREM000809,POL000909,COV000809,2026-07-03,2027-07-03,new_business,1869.2,1310.88
PREM000810,POL000910,COV000810,2024-04-08,2025-04-08,audit,764.04,434.73
PREM000811,POL000911,COV000811,2023-12-31,2024-12-30,cancellation,1652.45,830.15
PREM000812,POL000912,COV000812,2024-02-11,2025-02-10,renewal,2836.87,2640.95
PREM000813,POL000913,COV000813,2024-02-21,2025-02-20,reinstatement,1767.01,1116.83
PREM000814,POL000914,COV000814,2026-01-01,2027-01-01,endorsement,2838.98,2697.96
PREM000815,POL000915,COV000815,2024-08-11,2025-08-11,renewal,541.45,306.28
PREM000816,POL000916,COV000816,2024-02-04,2025-02-03,reinstatement,2896.45,2389.85
PREM000817,POL000917,COV000817,2024-07-27,2025-07-27,endorsement,467.32,393.75
PREM000818,POL000918,COV000818,2026-01-17,2027-01-17,renewal,2986.28,2666.46
PREM000819,POL000919,COV000819,2026-08-30,2027-08-30,endorsement,2342.29,2207.03
PREM000820,POL000920,COV000820,2025-04-21,2026-04-21,audit,734.71,584.92
PREM000821,POL000921,COV000821,2023-01-17,2024-01-17,renewal,2040.56,1175.33
PREM000822,POL000922,COV000822,2025-12-11,2026-12-11,renewal,2388.92,1870.18
PREM000823,POL000923,COV000823,2023-10-25,2024-10-24,endorsement,2151.15,1142.56
PREM000824,POL000924,COV000824,2024-09-27,2025-09-27,cancellation,2019.88,1859.84
PREM000825,POL000925,COV000825,2024-09-12,2025-09-12,endorsement,1641.67,1480.46
PREM000826,POL000926,COV000826,2023-11-25,2024-11-24,endorsement,2871.07,1909.15
PREM000827,POL000927,COV000827,2024-02-19,2025-02-18,audit,2655.67,2494.23
PREM000828,POL000928,COV000828,2023-04-29,2024-04-28,audit,2940.81,1936.26
PREM000829,POL000929,COV000829,2023-03-30,2024-03-29,cancellation,2444.88,1941.87
PREM000830,POL000930,COV000830,2024-08-26,2025-08-26,cancellation,2320.84,2263.38
PREM000831,POL000931,COV000831,2025-12-08,2026-12-08,audit,1037.55,575.94
PREM000832,POL000932,COV000832,2026-09-14,2027-09-14,cancellation,2474.15,2042.42
PREM000833,POL000933,COV000833,2023-12-23,2024-12-22,endorsement,2628.22,2513.97
PREM000834,POL000934,COV000834,2025-03-04,2026-03-04,endorsement,534.3,390.25
PREM000835,POL000935,COV000835,2025-12-08,2026-12-08,new_business,597.08,525.4
PREM000836,POL000936,COV000836,2023-12-01,2024-11-30,endorsement,1608.09,1084.57
PREM000837,POL000937,COV000837,2023-02-17,2024-02-17,renewal,1011.26,532.05
PREM000838,POL000938,COV000838,2026-07-16,2027-07-16,renewal,626.25,313.77
PREM000839,POL000939,COV000839,2023-09-10,2024-09-09,audit,2321.74,1396.96
PREM000840,POL000940,COV000840,2023-01-09,2024-01-09,audit,361.9,329.63
PREM000841,POL000941,COV000841,2025-07-22,2026-07-22,audit,169.27,87.34
PREM000842,POL000942,COV000842,2024-05-20,2025-05-20,cancellation,379.43,347.96
PREM000843,POL000943,COV000843,2025-07-26,2026-07-26,new_business,1514.1,1227.94
PREM000844,POL000944,COV000844,2023-05-24,2024-05-23,endorsement,339.65,280.35
PREM000845,POL000945,COV000845,2025-04-29,2026-04-29,audit,1609.89,1334.63
PREM000846,POL000946,COV000846,2025-09-02,2026-09-02,new_business,2863.35,2397.99
PREM000847,POL000947,COV000847,2026-02-12,2027-02-12,cancellation,1362.6,921.69
PREM000848,POL000948,COV000848,2024-11-15,2025-11-15,endorsement,1040.97,610.5
PREM000849,POL000949,COV000849,2025-12-13,2026-12-13,renewal,1937.27,1442.6
PREM000850,POL000950,COV000850,2025-09-23,2026-09-23,audit,751.87,390.97
PREM000851,POL000951,COV000851,2023-06-09,2024-06-08,new_business,1724.99,1337.84
PREM000852,POL000952,COV000852,2024-11-23,2025-11-23,audit,2275.27,2246.26
PREM000853,POL000953,COV000853,2024-05-31,2025-05-31,reinstatement,1238.2,1077.24
PREM000854,POL000954,COV000854,2024-04-07,2025-04-07,renewal,1955.19,1731.24
PREM000855,POL000955,COV000855,2023-10-04,2024-10-03,reinstatement,1330.35,849.08
PREM000856,POL000956,COV000856,2025-04-01,2026-04-01,renewal,106.9,77.24
PREM000857,POL000957,COV000857,2024-08-25,2025-08-25,renewal,1555.31,923.36
PREM000858,POL000958,COV000858,2025-09-21,2026-09-21,reinstatement,971.11,916.59
PREM000859,POL000959,COV000859,2024-10-09,2025-10-09,new_business,2978.81,2233.38
PREM000860,POL000960,COV000860,2025-04-03,2026-04-03,renewal,1309.15,1279.31
PREM000861,POL000961,COV000861,2023-10-05,2024-10-04,audit,1083.64,1027.51
PREM000862,POL000962,COV000862,2023-02-18,2024-02-18,audit,1256.88,683.64
PREM000863,POL000963,COV000863,2024-04-22,2025-04-22,new_business,2790.89,1648.89
PREM000864,POL000964,COV000864,2024-02-20,2025-02-19,new_business,2564.81,1849.75
PREM000865,POL000965,COV000865,2024-06-01,2025-06-01,renewal,896.18,830.86
PREM000866,POL000966,COV000866,2025-06-01,2026-06-01,reinstatement,244.69,125.67
PREM000867,POL000967,COV000867,2024-07-04,2025-07-04,renewal,248.21,153.69
PREM000868,POL000968,COV000868,2026-08-27,2027-08-27,audit,2070.6,1865.25
PREM000869,POL000969,COV000869,2023-10-26,2024-10-25,cancellation,2171.7,1726.12
PREM000870,POL000970,COV000870,2023-06-08,2024-06-07,reinstatement,341.57,282.96
PREM000871,POL000971,COV000871,2026-07-27,2027-07-27,renewal,2671.19,2591.72
PREM000872,POL000972,COV000872,2026-03-06,2027-03-06,endorsement,1032.48,626.62
PREM000873,POL000973,COV000873,2025-03-14,2026-03-14,reinstatement,823.07,561.32
PREM000874,POL000974,COV000874,2024-05-24,2025-05-24,renewal,824.0,723.73
PREM000875,POL000975,COV000875,2025-03-30,2026-03-30,endorsement,1221.53,700.81
PREM000876,POL000976,COV000876,2026-08-17,2027-08-17,cancellation,1986.37,1567.7
PREM000877,POL000977,COV000877,2025-07-26,2026-07-26,new_business,2513.59,1632.54
PREM000878,POL000978,COV000878,2025-04-23,2026-04-23,new_business,577.91,450.68
PREM000879,POL000979,COV000879,2023-04-04,2024-04-03,renewal,1876.64,1280.47
PREM000880,POL000980,COV000880,2023-08-30,2024-08-29,reinstatement,1516.06,886.79
PREM000881,POL000981,COV000881,2023-10-28,2024-10-27,cancellation,1022.7,881.45
PREM000882,POL000982,COV000882,2025-05-11,2026-05-11,reinstatement,672.46,669.98
PREM000883,POL000983,COV000883,2025-04-27,2026-04-27,endorsement,1288.39,724.77
PREM000884,POL000984,COV000884,2024-01-30,2025-01-29,new_business,2231.74,1498.47
PREM000885,POL000985,COV000885,2025-04-22,2026-04-22,endorsement,2857.48,1705.96
PREM000886,POL000986,COV000886,2024-01-29,2025-01-28,endorsement,1119.44,593.37
PREM000887,POL000987,COV000887,2026-05-12,2027-05-12,endorsement,1477.29,917.61
PREM000888,POL000988,COV000888,2024-01-19,2025-01-18,endorsement,2188.86,1620.51
PREM000889,POL000989,COV000889,2023-12-04,2024-12-03,endorsement,70.47,55.6
PREM000890,POL000990,COV000890,2024-04-18,2025-04-18,new_business,1468.7,767.17
PREM000891,POL000991,COV000891,2025-07-26,2026-07-26,new_business,1471.52,1125.91
PREM000892,POL000992,COV000892,2023-10-25,2024-10-24,new_business,825.47,686.16
PREM000893,POL000993,COV000893,2025-10-18,2026-10-18,cancellation,1125.26,675.74
PREM000894,POL000994,COV000894,2025-07-19,2026-07-19,audit,2542.57,1653.27
PREM000895,POL000995,COV000895,2025-11-10,2026-11-10,new_business,2196.27,1830.92
PREM000896,POL000996,COV000896,2026-07-09,2027-07-09,reinstatement,2199.83,2101.74
PREM000897,POL000997,COV000897,2026-02-18,2027-02-18,renewal,1059.0,628.44
PREM000898,POL000998,COV000898,2024-05-22,2025-05-22,audit,2649.54,2328.31
PREM000899,POL000999,COV000899,2025-05-17,2026-05-17,cancellation,626.67,322.35
PREM000900,POL001000,COV000900,2023-04-14,2024-04-13,audit,51.22,28.93
PREM000901,POL001001,COV000901,2024-12-02,2025-12-02,audit,2858.12,2605.27
PREM000902,POL001002,COV000902,2025-12-18,2026-12-18,reinstatement,2711.48,2632.13
PREM000903,POL001003,COV000903,2024-12-18,2025-12-18,endorsement,2852.74,1613.76
PREM000904,POL001004,COV000904,2024-06-27,2025-06-27,new_business,2258.19,1500.79
PREM000905,POL001005,COV000905,2025-04-28,2026-04-28,cancellation,1531.61,774.32
PREM000906,POL001006,COV000906,2026-06-03,2027-06-03,reinstatement,1155.66,650.21
PREM000907,POL001007,COV000907,2026-09-05,2027-09-05,renewal,2012.4,1283.8
PREM000908,POL001008,COV000908,2023-09-10,2024-09-09,audit,2480.68,1839.43
PREM000909,POL001009,COV000909,2024-01-09,2025-01-08,endorsement,1425.48,1222.32
PREM000910,POL001010,COV000910,2024-06-08,2025-06-08,cancellation,1933.84,1898.52
PREM000911,POL001011,COV000911,2025-08-09,2026-08-09,renewal,2726.76,2462.63
PREM000912,POL001012,COV000912,2025-06-28,2026-06-28,audit,712.25,661.29
PREM000913,POL001013,COV000913,2023-09-24,2024-09-23,reinstatement,1384.9,1320.73
PREM000914,POL001014,COV000914,2026-09-07,2027-09-07,audit,1524.72,1325.58
PREM000915,POL001015,COV000915,2023-01-07,2024-01-07,renewal,2134.9,1935.2
PREM000916,POL001016,COV000916,2025-10-02,2026-10-02,new_business,1455.88,943.22
PREM000917,POL001017,COV000917,2025-11-25,2026-11-25,endorsement,664.0,580.56
PREM000918,POL001018,COV000918,2026-06-27,2027-06-27,cancellation,2958.25,2241.41
PREM000919,POL001019,COV000919,2024-09-07,2025-09-07,reinstatement,1171.47,856.09
PREM000920,POL001020,COV000920,2024-04-04,2025-04-04,renewal,719.73,372.23
PREM000921,POL001021,COV000921,2023-12-06,2024-12-05,new_business,2684.03,2245.08
PREM000922,POL001022,COV000922,2024-12-21,2025-12-21,endorsement,270.13,160.23
PREM000923,POL001023,COV000923,2025-10-08,2026-10-08,reinstatement,2243.23,1199.44
PREM000924,POL001024,COV000924,2023-05-25,2024-05-24,audit,2180.07,1580.98
PREM000925,POL001025,COV000925,2024-03-12,2025-03-12,audit,227.87,211.85
PREM000926,POL001026,COV000926,2026-06-16,2027-06-16,renewal,1228.93,1190.31
PREM000927,POL001027,COV000927,2023-04-14,2024-04-13,reinstatement,1386.49,695.19
PREM000928,POL001028,COV000928,2025-12-18,2026-12-18,cancellation,1241.9,771.47
PREM000929,POL001029,COV000929,2025-08-08,2026-08-08,cancellation,2415.68,1907.46
PREM000930,POL001030,COV000930,2024-04-10,2025-04-10,audit,1843.76,1328.54
PREM000931,POL001031,COV000931,2026-06-11,2027-06-11,new_business,2239.52,1233.73
PREM000932,POL001032,COV000932,2026-05-09,2027-05-09,endorsement,2206.83,1326.78
PREM000933,POL001033,COV000933,2023-12-10,2024-12-09,new_business,439.05,355.95
PREM000934,POL001034,COV000934,2024-01-02,2025-01-01,reinstatement,50.5,50.21
PREM000935,POL001035,COV000935,2023-07-01,2024-06-30,endorsement,276.37,172.46
PREM000936,POL001036,COV000936,2026-01-08,2027-01-08,audit,1087.13,854.91
PREM000937,POL001037,COV000937,2023-07-18,2024-07-17,reinstatement,1673.39,898.15
PREM000938,POL001038,COV000938,2026-04-30,2027-04-30,new_business,519.33,423.23
PREM000939,POL001039,COV000939,2026-03-22,2027-03-22,renewal,227.98,150.51
PREM000940,POL001040,COV000940,2026-02-06,2027-02-06,renewal,1686.78,1419.92
PREM000941,POL001041,COV000941,2023-06-02,2024-06-01,endorsement,2539.7,1799.1
PREM000942,POL001042,COV000942,2025-04-27,2026-04-27,reinstatement,2441.67,1653.64
PREM000943,POL001043,COV000943,2023-08-13,2024-08-12,audit,1872.21,1308.1
PREM000944,POL001044,COV000944,2024-01-28,2025-01-27,endorsement,1041.19,688.65
PREM000945,POL001045,COV000945,2024-12-28,2025-12-28,reinstatement,2345.61,1974.65
PREM000946,POL001046,COV000946,2023-06-08,2024-06-07,endorsement,1663.34,1570.51
PREM000947,POL001047,COV000947,2023-07-08,2024-07-07,endorsement,921.51,701.23
PREM000948,POL001048,COV000948,2023-06-16,2024-06-15,cancellation,929.0,493.78
PREM000949,POL001049,COV000949,2025-02-14,2026-02-14,endorsement,583.87,583.79
PREM000950,POL001050,COV000950,2025-07-26,2026-07-26,new_business,1210.19,1164.13
PREM000951,POL001051,COV000951,2023-06-21,2024-06-20,new_business,2658.13,2624.38
PREM000952,POL001052,COV000952,2023-02-13,2024-02-13,endorsement,2464.12,1448.91
PREM000953,POL001053,COV000953,2025-05-22,2026-05-22,reinstatement,1272.9,1107.76
PREM000954,POL001054,COV000954,2025-05-06,2026-05-06,renewal,562.29,538.79
PREM000955,POL001055,COV000955,2024-03-26,2025-03-26,new_business,680.8,592.68
PREM000956,POL001056,COV000956,2026-05-06,2027-05-06,endorsement,422.5,257.32
PREM000957,POL001057,COV000957,2023-11-02,2024-11-01,endorsement,2178.4,1646.83
PREM000958,POL001058,COV000958,2023-04-26,2024-04-25,renewal,1655.34,1323.92
PREM000959,POL001059,COV000959,2023-04-22,2024-04-21,renewal,2652.62,1435.14
PREM000960,POL001060,COV000960,2023-08-31,2024-08-30,endorsement,1794.99,1451.58
PREM000961,POL001061,COV000961,2023-08-01,2024-07-31,renewal,873.43,835.55
PREM000962,POL001062,COV000962,2025-03-04,2026-03-04,cancellation,437.13,315.61
PREM000963,POL001063,COV000963,2023-11-01,2024-10-31,reinstatement,1340.49,920.68
PREM000964,POL001064,COV000964,2025-09-30,2026-09-30,reinstatement,250.94,233.59
PREM000965,POL001065,COV000965,2026-01-09,2027-01-09,audit,1190.86,777.96
PREM000966,POL001066,COV000966,2026-06-27,2027-06-27,reinstatement,1667.05,1224.34
PREM000967,POL001067,COV000967,2023-12-29,2024-12-28,endorsement,1161.19,953.49
PREM000968,POL001068,COV000968,2024-04-24,2025-04-24,renewal,1276.15,1000.14
PREM000969,POL001069,COV000969,2024-06-11,2025-06-11,endorsement,1529.72,1157.06
PREM000970,POL001070,COV000970,2024-02-03,2025-02-02,endorsement,1672.98,1106.79
PREM000971,POL001071,COV000971,2023-06-29,2024-06-28,cancellation,720.16,421.89
PREM000972,POL001072,COV000972,2024-07-21,2025-07-21,new_business,164.54,132.39
PREM000973,POL001073,COV000973,2025-04-10,2026-04-10,audit,1915.48,1539.19
PREM000974,POL001074,COV000974,2024-10-29,2025-10-29,cancellation,1637.6,1597.35
PREM000975,POL001075,COV000975,2026-09-15,2027-09-15,cancellation,2194.67,1172.99
PREM000976,POL001076,COV000976,2024-04-01,2025-04-01,endorsement,1055.04,814.13
PREM000977,POL001077,COV000977,2024-05-09,2025-05-09,cancellation,485.81,385.62
PREM000978,POL001078,COV000978,2024-09-14,2025-09-14,renewal,1116.88,1098.64
PREM000979,POL001079,COV000979,2024-12-11,2025-12-11,cancellation,1791.72,1192.8
PREM000980,POL001080,COV000980,2024-04-01,2025-04-01,reinstatement,614.89,532.27
PREM000981,POL001081,COV000981,2026-07-05,2027-07-05,new_business,1414.17,1140.33
PREM000982,POL001082,COV000982,2023-02-13,2024-02-13,reinstatement,726.2,437.69
PREM000983,POL001083,COV000983,2025-12-06,2026-12-06,renewal,2021.98,1825.23
PREM000984,POL001084,COV000984,2025-05-23,2026-05-23,new_business,356.29,277.96
PREM000985,POL001085,COV000985,2023-11-08,2024-11-07,renewal,2445.42,2259.42
PREM000986,POL001086,COV000986,2023-04-13,2024-04-12,renewal,1118.04,567.75
PREM000987,POL001087,COV000987,2026-02-09,2027-02-09,renewal,1052.96,873.93
PREM000988,POL001088,COV000988,2026-04-22,2027-04-22,endorsement,780.11,402.32
PREM000989,POL001089,COV000989,2023-03-10,2024-03-09,new_business,576.05,417.68
PREM000990,POL001090,COV000990,2025-04-27,2026-04-27,cancellation,569.97,365.45
PREM000991,POL001091,COV000991,2023-11-08,2024-11-07,audit,1473.34,1280.59
PREM000992,POL001092,COV000992,2026-08-14,2027-08-14,audit,1448.19,911.2
PREM000993,POL001093,COV000993,2024-03-09,2025-03-09,renewal,378.68,220.83
PREM000994,POL001094,COV000994,2023-01-21,2024-01-21,cancellation,2311.73,1532.8
PREM000995,POL001095,COV000995,2023-10-02,2024-10-01,audit,2489.67,2413.58
PREM000996,POL001096,COV000996,2025-08-27,2026-08-27,endorsement,73.26,56.0
PREM000997,POL001097,COV000997,2023-12-19,2024-12-18,reinstatement,1841.48,1440.14
PREM000998,POL001098,COV000998,2024-07-23,2025-07-23,cancellation,495.93,274.0
PREM000999,POL001099,COV000999,2023-08-29,2024-08-28,cancellation,2723.61,2371.59
PREM001000,POL001100,COV001000,2023-07-24,2024-07-23,reinstatement,2174.87,2068.18
PREM001001,POL001101,COV001001,2026-01-22,2027-01-22,endorsement,2636.9,2571.24
PREM001002,POL001102,COV001002,2025-08-21,2026-08-21,endorsement,302.97,264.78
PREM001003,POL001103,COV001003,2023-08-29,2024-08-28,reinstatement,1219.24,879.46
PREM001004,POL001104,COV001004,2024-03-27,2025-03-27,endorsement,1740.42,1413.96
PREM001005,POL001105,COV001005,2024-02-23,2025-02-22,new_business,1248.42,925.7
PREM001006,POL001106,COV001006,2023-12-06,2024-12-05,new_business,2325.91,1371.02
PREM001007,POL001107,COV001007,2023-01-26,2024-01-26,audit,1317.77,820.75
PREM001008,POL001108,COV001008,2025-12-07,2026-12-07,new_business,1790.76,995.06
PREM001009,POL001109,COV001009,2023-03-27,2024-03-26,audit,1488.46,751.79
PREM001010,POL001110,COV001010,2024-12-12,2025-12-12,new_business,486.8,386.77
PREM001011,POL001111,COV001011,2025-05-26,2026-05-26,renewal,805.95,696.36
PREM001012,POL001112,COV001012,2025-08-06,2026-08-06,cancellation,2461.02,1587.31
PREM001013,POL001113,COV001013,2026-01-07,2027-01-07,cancellation,2498.37,1647.53
PREM001014,POL001114,COV001014,2023-06-19,2024-06-18,reinstatement,480.27,368.56
PREM001015,POL001115,COV001015,2025-01-27,2026-01-27,endorsement,1205.53,810.19
PREM001016,POL001116,COV001016,2024-03-16,2025-03-16,cancellation,1346.35,805.48
PREM001017,POL001117,COV001017,2025-09-03,2026-09-03,audit,954.53,933.42
PREM001018,POL001118,COV001018,2025-05-13,2026-05-13,audit,126.75,63.4
PREM001019,POL001119,COV001019,2026-01-05,2027-01-05,audit,2920.4,1591.82
PREM001020,POL001120,COV001020,2024-01-13,2025-01-12,endorsement,898.49,543.45
PREM001021,POL001121,COV001021,2023-11-04,2024-11-03,endorsement,1873.97,1123.06
PREM001022,POL001122,COV001022,2025-07-16,2026-07-16,renewal,1562.19,1012.14
PREM001023,POL001123,COV001023,2025-03-07,2026-03-07,reinstatement,1585.13,1564.14
PREM001024,POL001124,COV001024,2025-02-24,2026-02-24,reinstatement,2091.76,1810.63
PREM001025,POL001125,COV001025,2024-02-25,2025-02-24,renewal,1035.79,937.06
PREM001026,POL001126,COV001026,2026-04-19,2027-04-19,audit,1232.45,784.06
PREM001027,POL001127,COV001027,2023-06-03,2024-06-02,audit,597.39,442.45
PREM001028,POL001128,COV001028,2026-08-28,2027-08-28,endorsement,220.86,208.71
PREM001029,POL001129,COV001029,2026-09-09,2027-09-09,audit,1658.08,1027.41
PREM001030,POL001130,COV001030,2023-05-25,2024-05-24,audit,2473.53,2383.08
PREM001031,POL001131,COV001031,2024-01-15,2025-01-14,reinstatement,2333.94,1283.5
PREM001032,POL001132,COV001032,2024-05-17,2025-05-17,renewal,1813.75,1506.9
PREM001033,POL001133,COV001033,2024-11-13,2025-11-13,new_business,2560.25,1998.82
PREM001034,POL001134,COV001034,2026-04-05,2027-04-05,reinstatement,1738.26,1559.46
PREM001035,POL001135,COV001035,2026-01-25,2027-01-25,endorsement,2607.7,1385.75
PREM001036,POL001136,COV001036,2025-11-28,2026-11-28,endorsement,1883.72,1290.1
PREM001037,POL001137,COV001037,2025-07-31,2026-07-31,audit,1103.46,716.26
PREM001038,POL001138,COV001038,2023-02-22,2024-02-22,audit,1034.05,1013.07
PREM001039,POL001139,COV001039,2026-02-17,2027-02-17,reinstatement,328.72,216.01
PREM001040,POL001140,COV001040,2023-10-03,2024-10-02,new_business,2185.22,1352.39
PREM001041,POL001141,COV001041,2024-03-11,2025-03-11,endorsement,982.86,581.38
PREM001042,POL001142,COV001042,2023-06-05,2024-06-04,new_business,2509.98,1441.22
PREM001043,POL001143,COV001043,2024-08-31,2025-08-31,renewal,2390.29,2047.42
PREM001044,POL001144,COV001044,2024-11-05,2025-11-05,cancellation,1664.29,1402.11
PREM001045,POL001145,COV001045,2026-02-11,2027-02-11,new_business,617.82,391.61
PREM001046,POL001146,COV001046,2025-08-25,2026-08-25,reinstatement,2385.07,2312.12
PREM001047,POL001147,COV001047,2023-11-23,2024-11-22,new_business,2132.34,1883.95
PREM001048,POL001148,COV001048,2023-01-16,2024-01-16,reinstatement,1460.47,1311.96
PREM001049,POL001149,COV001049,2025-09-29,2026-09-29,endorsement,2529.73,1272.45
PREM001050,POL001150,COV001050,2024-05-15,2025-05-15,cancellation,1001.81,515.43
PREM001051,POL001151,COV001051,2023-07-08,2024-07-07,audit,2253.73,2049.16
PREM001052,POL001152,COV001052,2024-03-23,2025-03-23,reinstatement,2086.78,1240.97
PREM001053,POL001153,COV001053,2023-12-09,2024-12-08,new_business,1642.91,1425.02
PREM001054,POL001154,COV001054,2026-03-23,2027-03-23,new_business,2121.61,1211.58
PREM001055,POL001155,COV001055,2025-07-30,2026-07-30,reinstatement,437.54,278.26
PREM001056,POL001156,COV001056,2026-07-29,2027-07-29,cancellation,1195.53,746.99
PREM001057,POL001157,COV001057,2025-07-08,2026-07-08,new_business,911.82,660.02
PREM001058,POL001158,COV001058,2023-07-06,2024-07-05,renewal,950.62,666.19
PREM001059,POL001159,COV001059,2025-03-04,2026-03-04,new_business,2742.43,2380.42
PREM001060,POL001160,COV001060,2025-10-11,2026-10-11,renewal,233.94,159.24
PREM001061,POL001161,COV001061,2026-03-16,2027-03-16,audit,2753.04,2364.94
PREM001062,POL001162,COV001062,2024-12-19,2025-12-19,renewal,2381.97,1992.11
PREM001063,POL001163,COV001063,2024-01-19,2025-01-18,renewal,1188.54,1033.24
PREM001064,POL001164,COV001064,2024-07-11,2025-07-11,audit,2490.86,1786.26
PREM001065,POL001165,COV001065,2023-06-02,2024-06-01,cancellation,245.47,157.91
PREM001066,POL001166,COV001066,2023-03-02,2024-03-01,cancellation,720.64,505.84
PREM001067,POL001167,COV001067,2024-08-23,2025-08-23,endorsement,1910.12,1225.68
PREM001068,POL001168,COV001068,2026-07-17,2027-07-17,renewal,310.3,203.78
PREM001069,POL001169,COV001069,2024-03-31,2025-03-31,cancellation,2039.96,1038.15
PREM001070,POL001170,COV001070,2025-09-11,2026-09-11,reinstatement,111.16,68.06
PREM001071,POL001171,COV001071,2023-02-09,2024-02-09,renewal,1217.98,781.79
PREM001072,POL001172,COV001072,2023-10-18,2024-10-17,new_business,2742.07,2218.33
PREM001073,POL001173,COV001073,2025-05-31,2026-05-31,renewal,2207.81,1451.0
PREM001074,POL001174,COV001074,2024-04-06,2025-04-06,endorsement,2357.84,1400.66
PREM001075,POL001175,COV001075,2024-08-17,2025-08-17,audit,2152.93,1332.98
PREM001076,POL001176,COV001076,2023-08-05,2024-08-04,renewal,2870.09,2537.22
PREM001077,POL001177,COV001077,2025-02-07,2026-02-07,audit,1455.93,1223.23
PREM001078,POL001178,COV001078,2023-01-15,2024-01-15,renewal,2026.83,1943.51
PREM001079,POL001179,COV001079,2024-12-15,2025-12-15,reinstatement,801.47,556.1
PREM001080,POL001180,COV001080,2025-03-09,2026-03-09,new_business,1163.03,755.13
PREM001081,POL001181,COV001081,2024-07-28,2025-07-28,endorsement,1677.07,1657.76
PREM001082,POL001182,COV001082,2025-11-21,2026-11-21,audit,1586.14,1549.75
PREM001083,POL001183,COV001083,2024-12-09,2025-12-09,renewal,2133.5,1606.96
PREM001084,POL001184,COV001084,2023-01-21,2024-01-21,cancellation,1722.27,1177.81
PREM001085,POL001185,COV001085,2023-03-03,2024-03-02,audit,2581.6,1335.08
PREM001086,POL001186,COV001086,2025-09-26,2026-09-26,new_business,856.02,837.74
PREM001087,POL001187,COV001087,2025-08-18,2026-08-18,new_business,1255.1,730.21
PREM001088,POL001188,COV001088,2024-08-30,2025-08-30,new_business,2313.19,1658.71
PREM001089,POL001189,COV001089,2023-04-12,2024-04-11,new_business,2838.66,2110.54
PREM001090,POL001190,COV001090,2025-08-21,2026-08-21,audit,2760.4,1436.91
PREM001091,POL001191,COV001091,2023-10-12,2024-10-11,renewal,120.32,116.47
PREM001092,POL001192,COV001092,2023-02-20,2024-02-20,reinstatement,2084.88,1980.81
